"","positive","negative","sentiment","standardized","words","type"
"83",1,0,1,1,1,"1"
"84",0,1,-1,-1,1,"-1"
"85",0,1,-1,-1,1,"-1"
"86",1,0,1,1,1,"1"
"87",0,1,-1,-1,1,"-1"
"88",1,2,-1,-0.333333333333333,3,"-1"
"89",0,1,-1,-1,1,"-1"
"90",1,1,0,0,2,"0"
"91",1,0,1,1,1,"1"
"92",4,1,3,0.6,5,"1"
"93",6,2,4,0.5,8,"1"
"94",3,0,3,1,3,"1"
"95",2,0,2,1,2,"1"
"96",1,1,0,0,2,"0"
"97",3,2,1,0.2,5,"0"
"98",3,5,-2,-0.25,8,"0"
"99",0,0,0,NA,0,NA
"100",0,0,0,NA,0,NA
"101",1,0,1,1,1,"1"
"102",1,1,0,0,2,"0"
"103",0,3,-3,-1,3,"-1"
"104",2,1,1,0.333333333333333,3,"1"
"105",1,2,-1,-0.333333333333333,3,"-1"
"106",1,1,0,0,2,"0"
"107",0,1,-1,-1,1,"-1"
"108",0,0,0,NA,0,NA
"109",1,0,1,1,1,"1"
"110",2,0,2,1,2,"1"
"111",2,0,2,1,2,"1"
"112",2,3,-1,-0.2,5,"0"
"113",1,2,-1,-0.333333333333333,3,"-1"
"114",2,0,2,1,2,"1"
"115",11,14,-3,-0.12,25,"0"
"116",0,0,0,NA,0,NA
"117",1,1,0,0,2,"0"
"118",1,1,0,0,2,"0"
"119",1,2,-1,-0.333333333333333,3,"-1"
"120",0,1,-1,-1,1,"-1"
"121",1,0,1,1,1,"1"
"122",0,1,-1,-1,1,"-1"
"123",1,0,1,1,1,"1"
"124",0,3,-3,-1,3,"-1"
"125",1,0,1,1,1,"1"
"126",2,1,1,0.333333333333333,3,"1"
"127",2,2,0,0,4,"0"
"128",3,3,0,0,6,"0"
"129",2,1,1,0.333333333333333,3,"1"
"130",1,1,0,0,2,"0"
"131",0,2,-2,-1,2,"-1"
"132",6,6,0,0,12,"0"
"133",2,8,-6,-0.6,10,"-1"
"134",3,3,0,0,6,"0"
"135",1,0,1,1,1,"1"
"136",10,4,6,0.428571428571429,14,"1"
"137",8,7,1,0.0666666666666667,15,"0"
"138",0,0,0,NA,0,NA
"139",2,2,0,0,4,"0"
"140",1,0,1,1,1,"1"
"141",2,0,2,1,2,"1"
"142",1,3,-2,-0.5,4,"-1"
"143",1,1,0,0,2,"0"
"144",9,2,7,0.636363636363636,11,"1"
"145",0,3,-3,-1,3,"-1"
"146",0,0,0,NA,0,NA
"147",0,0,0,NA,0,NA
"148",3,2,1,0.2,5,"0"
"149",1,0,1,1,1,"1"
"150",1,2,-1,-0.333333333333333,3,"-1"
"151",3,10,-7,-0.538461538461538,13,"-1"
"152",1,5,-4,-0.666666666666667,6,"-1"
"153",3,0,3,1,3,"1"
"154",0,0,0,NA,0,NA
"155",1,2,-1,-0.333333333333333,3,"-1"
"156",1,5,-4,-0.666666666666667,6,"-1"
"157",2,9,-7,-0.636363636363636,11,"-1"
"158",0,2,-2,-1,2,"-1"
"159",0,0,0,NA,0,NA
"160",5,4,1,0.111111111111111,9,"0"
"161",16,10,6,0.230769230769231,26,"0"
"162",0,2,-2,-1,2,"-1"
"163",0,0,0,NA,0,NA
"164",1,0,1,1,1,"1"
"165",0,0,0,NA,0,NA
"166",4,1,3,0.6,5,"1"
"167",13,18,-5,-0.161290322580645,31,"0"
"168",3,1,2,0.5,4,"1"
"169",1,1,0,0,2,"0"
"170",2,5,-3,-0.428571428571429,7,"-1"
"171",1,0,1,1,1,"1"
"172",3,4,-1,-0.142857142857143,7,"0"
"173",2,1,1,0.333333333333333,3,"1"
"174",1,2,-1,-0.333333333333333,3,"-1"
"175",3,2,1,0.2,5,"0"
"176",5,5,0,0,10,"0"
"177",0,1,-1,-1,1,"-1"
"178",1,0,1,1,1,"1"
"179",0,1,-1,-1,1,"-1"
"180",3,0,3,1,3,"1"
"181",3,3,0,0,6,"0"
"182",2,1,1,0.333333333333333,3,"1"
"183",0,8,-8,-1,8,"-1"
"184",0,1,-1,-1,1,"-1"
"185",0,2,-2,-1,2,"-1"
"186",2,1,1,0.333333333333333,3,"1"
"187",2,4,-2,-0.333333333333333,6,"-1"
"188",2,16,-14,-0.777777777777778,18,"-1"
"189",3,2,1,0.2,5,"0"
"190",1,1,0,0,2,"0"
"191",3,0,3,1,3,"1"
"192",7,0,7,1,7,"1"
"193",0,1,-1,-1,1,"-1"
"194",1,1,0,0,2,"0"
"195",2,2,0,0,4,"0"
"196",3,1,2,0.5,4,"1"
"197",0,3,-3,-1,3,"-1"
"198",8,4,4,0.333333333333333,12,"1"
"199",3,6,-3,-0.333333333333333,9,"-1"
"200",1,0,1,1,1,"1"
"201",1,1,0,0,2,"0"
"202",0,0,0,NA,0,NA
"203",1,1,0,0,2,"0"
"204",0,1,-1,-1,1,"-1"
"205",1,0,1,1,1,"1"
"206",0,2,-2,-1,2,"-1"
"207",1,0,1,1,1,"1"
"208",1,0,1,1,1,"1"
"209",1,2,-1,-0.333333333333333,3,"-1"
"210",10,9,1,0.0526315789473684,19,"0"
"211",1,1,0,0,2,"0"
"212",4,1,3,0.6,5,"1"
"213",1,0,1,1,1,"1"
"214",1,0,1,1,1,"1"
"215",1,0,1,1,1,"1"
"216",2,2,0,0,4,"0"
"217",2,2,0,0,4,"0"
"218",2,2,0,0,4,"0"
"219",1,4,-3,-0.6,5,"-1"
"220",0,0,0,NA,0,NA
"221",2,1,1,0.333333333333333,3,"1"
"222",1,0,1,1,1,"1"
"223",0,0,0,NA,0,NA
